大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用
ビバレッジ,フラペチーノ®,ほうじ茶 もちっと ミルク フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556560/4524785556560_11_s.jpg,,https://menu.starbucks.co.jp/4524785556560,382.0,4.8,20.6,44.9,0.4,1.1,43.8,164.0,202.0,0.2,10.8,28.0,
ビバレッジ,フラペチーノ®,エスプレッソ  アフォガート フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785344143/4524785344143_11_s.jpg,,https://menu.starbucks.co.jp/4524785344143,438.0,4.2,28.5,41.7,0.5,0.7,41.0,189.0,433.0,0.4,18.2,160.0,
ビバレッジ,フラペチーノ®,コーヒー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165731/4524785165731_11_s.jpg,,https://menu.starbucks.co.jp/4524785165731,170.0,2.6,2.2,35.0,0.4,0.1,34.9,164.0,238.0,0.1,1.3,86.0,
ビバレッジ,フラペチーノ®,ダーク モカ チップ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785166059/4524785166059_11_s.jpg,,https://menu.starbucks.co.jp/4524785166059,341.0,5.3,15.2,45.9,0.5,2.1,43.7,211.0,585.0,0.2,9.7,98.0,
ビバレッジ,フラペチーノ®,キャラメル フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165816/4524785165816_11_s.jpg,,https://menu.starbucks.co.jp/4524785165816,302.0,3.7,12.0,44.9,0.5,0.1,44.8,192.0,289.0,0.2,7.5,86.0,
ビバレッジ,フラペチーノ®,抹茶 クリーム フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165892/4524785165892_11_s.jpg,,https://menu.starbucks.co.jp/4524785165892,322.0,5.3,12.7,47.1,0.5,0.9,46.1,184.0,273.0,0.2,7.8,78.0,
ビバレッジ,フラペチーノ®,バニラ クリーム フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165939/4524785165939_11_s.jpg,,https://menu.starbucks.co.jp/4524785165939,255.0,4.5,12.4,31.5,0.5,0.1,31.4,184.0,206.0,0.2,7.7,0.0,
ビバレッジ,フラペチーノ®,マンゴー パッション ティー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785118751/4524785118751_11_s.jpg,,https://menu.starbucks.co.jp/4524785118751,140.0,0.7,0.0,34.4,0.2,1.0,33.4,95.0,209.0,0.0,0.0,0.0,
ビバレッジ,フラペチーノ®,My フルーツ³ フラペチーノ® グレープ ＆ ピーチ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785517479/4524785517479_11_s.jpg,,https://menu.starbucks.co.jp/4524785517479,425.0,7.7,15.2,66.6,0.6,,,,,,,,
ビバレッジ,フラペチーノ®,My フルーツ³ フラペチーノ® ストロベリー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785479791/4524785479791_11_s.jpg,,https://menu.starbucks.co.jp/4524785479791,360.0,7.9,11.9,57.4,0.6,,,,,,,,
ビバレッジ,フラペチーノ®,和三蜜 アーモンドミルク フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785487345/4524785487345_11_s.jpg,,https://menu.starbucks.co.jp/4524785487345,315.0,3.0,18.0,36.7,0.6,,,,,,,,
ビバレッジ,フラペチーノ®,クランチー アーモンド チョコレート フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785324671/4524785324671_11_s.jpg,,https://menu.starbucks.co.jp/4524785324671,472.0,8.4,22.4,60.7,0.6,,,,,,,,
ビバレッジ,フラペチーノ®,ゆず & シトラス ラベンダー セージ ティー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445543/4524785445543_11_s.jpg,,https://menu.starbucks.co.jp/4524785445543,252.0,0.3,0.1,63.1,0.2,,,,,,,,
ビバレッジ,フラペチーノ®,ストロベリー & パッション ティー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445550/4524785445550_11_s.jpg,,https://menu.starbucks.co.jp/4524785445550,233.0,0.3,5.4,45.9,0.04,,,,,,,,
ビバレッジ,フラペチーノ®,和三蜜 抹茶 フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445581/4524785445581_11_s.jpg,,https://menu.starbucks.co.jp/4524785445581,303.0,6.1,12.7,42.3,0.1,,,,,,,,
ビバレッジ,フラペチーノ®,和三蜜 ほうじ茶 フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445598/4524785445598_11_s.jpg,,https://menu.starbucks.co.jp/4524785445598,304.0,5.6,12.8,42.6,0.1,,,,,,,,
ビバレッジ,フラペチーノ®,ジョイフルメドレー ティー  ラテ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785526518/4524785526518_11_s.jpg,,https://menu.starbucks.co.jp/4524785526518,284.0,2.5,6.2,55.5,0.1,,,,,,,,
ビバレッジ,フラペチーノ®,My フルーツ³ フラペチーノ® オレンジ & パッションフルーツ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785546974/4524785546974_11_s.jpg,,https://menu.starbucks.co.jp/4524785546974,399.0,8.2,15.2,59.1,0.6,,,,,,,,
ビバレッジ,コーヒー,ドリップ コーヒー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000018/4524785000018_11_s.jpg,,https://menu.starbucks.co.jp/4524785000018,18.0,1.1,0.0,3.3,0.01,0.7,2.6,6.0,404.0,0.0,0.0,276.0,
ビバレッジ,コーヒー,カフェ ミスト,https://asset.menu.starbucks.co.jp/public/sku_images/4524785062870/4524785062870_11_s.jpg,,https://menu.starbucks.co.jp/4524785062870,127.0,7.2,6.3,10.7,0.2,0.4,10.3,81.0,480.0,0.2,3.7,138.0,
ビバレッジ,コーヒー,コールドブリュー コーヒー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785324732/4524785324732_11_s.jpg,,https://menu.starbucks.co.jp/4524785324732,10.0,0.4,0.0,2.3,0.01,0.6,1.6,5.0,205.0,0.0,0.0,144.0,
ビバレッジ,コーヒー,コーヒー プレス,https://asset.menu.starbucks.co.jp/public/sku_images/4524785046856/4524785046856_11_s.jpg,,https://menu.starbucks.co.jp/4524785046856,17.0,1.0,0.0,3.1,0.01,0.7,2.4,5.0,374.0,0.0,0.0,255.0,
ビバレッジ,コーヒー,オリアート™ ゴールデンフォーム™ コールド ブリュー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785542563/4524785542563_11_s.jpg,,https://menu.starbucks.co.jp/4524785542563,256.0,1.0,23.8,11.5,0.04,,,,,,,,
ビバレッジ,エスプレッソ,ジンジャーブレッド ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785033153/4524785033153_11_s.jpg,,https://menu.starbucks.co.jp/4524785033153,320.0,11.4,16.3,32.1,0.3,0.4,31.8,138.0,592.0,0.3,9.9,80.0,
ビバレッジ,エスプレッソ,スターバックス ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000223/4524785000223_11_s.jpg,,https://menu.starbucks.co.jp/4524785000223,223.0,12.5,11.5,17.7,0.3,0.3,17.4,144.0,635.0,0.3,6.7,80.0,
ビバレッジ,エスプレッソ,ソイ ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785047396/4524785047396_11_s.jpg,,https://menu.starbucks.co.jp/4524785047396,208.0,11.8,13.8,10.0,0.7,1.0,9.0,213.0,661.0,0.0,2.0,80.0,
ビバレッジ,エスプレッソ,アーモンドミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785433106/4524785433106_11_s.jpg,,https://menu.starbucks.co.jp/4524785433106,159.0,2.9,13.4,9.1,0.6,4.5,4.6,234.0,200.0,0.0,0.9,80.0,
ビバレッジ,エスプレッソ,オーツミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785433021/4524785433021_11_s.jpg,,https://menu.starbucks.co.jp/4524785433021,213.0,4.7,11.5,23.5,0.5,2.0,21.5,207.0,242.0,0.0,1.2,80.0,
ビバレッジ,エスプレッソ,カプチーノ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000285/4524785000285_11_s.jpg,,https://menu.starbucks.co.jp/4524785000285,114.0,6.5,5.8,9.4,0.2,0.3,9.1,72.0,380.0,0.2,3.4,80.0,
ビバレッジ,エスプレッソ,カフェ モカ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000254/4524785000254_11_s.jpg,,https://menu.starbucks.co.jp/4524785000254,399.0,12.6,18.7,46.9,0.3,2.8,44.1,131.0,845.0,0.3,10.2,95.0,
ビバレッジ,エスプレッソ,ホワイト モカ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785034532/4524785034532_11_s.jpg,,https://menu.starbucks.co.jp/4524785034532,401.0,12.8,18.3,46.8,0.5,0.4,46.4,227.0,675.0,0.3,11.5,80.0,
ビバレッジ,エスプレッソ,キャラメル マキアート,https://asset.menu.starbucks.co.jp/public/sku_images/4524785019232/4524785019232_11_s.jpg,,https://menu.starbucks.co.jp/4524785019232,211.0,8.5,8.4,25.9,0.2,0.3,25.5,106.0,467.0,0.2,4.9,80.0,
ビバレッジ,エスプレッソ,カフェ アメリカーノ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000315/4524785000315_11_s.jpg,,https://menu.starbucks.co.jp/4524785000315,11.0,0.8,0.0,2.2,0.0,0.7,1.6,0.0,247.0,0.0,0.0,160.0,
ビバレッジ,エスプレッソ,エスプレッソ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000346/4524785000346_11_s.jpg,,https://menu.starbucks.co.jp/4524785000346,5.0,0.4,0.0,1.1,0.0,0.3,0.8,0.0,124.0,0.0,0.0,80.0,
ビバレッジ,エスプレッソ,スターバックス ブロンド ラテ with オーツミルク,https://asset.menu.starbucks.co.jp/public/sku_images/4524785487253/4524785487253_11_s.jpg,,https://menu.starbucks.co.jp/4524785487253,213.0,4.7,11.5,23.5,0.5,2.0,21.5,207.0,242.0,0.0,1.2,80.0,
ビバレッジ,エスプレッソ,トリプルエスプレッソ ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785457690/4524785457690_11_s.jpg,,https://menu.starbucks.co.jp/4524785457690,219.0,11.4,9.7,22.4,0.3,1.0,21.4,122.0,801.0,0.3,5.7,239.0,
ビバレッジ,エスプレッソ,オリアート™ オーツミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785544406/4524785544406_11_s.jpg,,https://menu.starbucks.co.jp/4524785544406,318.0,4.5,24.4,22.4,0.5,,,,,,,,
ビバレッジ,エスプレッソ,和三蜜 ムース フォーム アーモンドミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785548541/4524785548541_11_s.jpg,,https://menu.starbucks.co.jp/4524785548541,154.0,3.3,10.4,14.0,0.6,,,,,,,,
ビバレッジ,ティー｜TEAVANA™,ほうじ茶 まろやか キャラメル ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556607/4524785556607_11_s.jpg,,https://menu.starbucks.co.jp/4524785556607,367.0,13.3,18.3,38.1,0.4,1.0,37.1,184.0,586.0,0.4,11.1,37.0,
ビバレッジ,ティー｜TEAVANA™,ストロベリー ラベンダー ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556645/4524785556645_11_s.jpg,,https://menu.starbucks.co.jp/4524785556645,265.0,5.5,11.2,35.7,0.3,0.0,35.7,127.0,324.0,0.1,7.2,229.0,
ビバレッジ,ティー｜TEAVANA™,ソイ チャイ ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785514560/4524785514560_11_s.jpg,,https://menu.starbucks.co.jp/4524785514560,212.0,6.4,7.5,30.2,0.4,0.5,29.7,120.0,345.0,0.0,1.1,53.0,
ビバレッジ,ティー｜TEAVANA™,ジョイフルメドレー ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785343993/4524785343993_11_s.jpg,,https://menu.starbucks.co.jp/4524785343993,181.0,6.6,6.3,24.7,0.2,0.0,24.7,85.0,309.0,0.2,3.7,50.0,
ビバレッジ,ティー｜TEAVANA™,ジョイフルメドレー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785348035/4524785348035_11_s.jpg,,https://menu.starbucks.co.jp/4524785348035,2.0,0.0,0.0,0.5,0.01,0.0,0.5,4.0,30.0,0.0,0.0,50.0,
ビバレッジ,ティー｜TEAVANA™,ゆず シトラス & ティー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785461154/4524785461154_11_s.jpg,,https://menu.starbucks.co.jp/4524785461154,119.0,0.2,0.1,29.3,0.01,0.6,28.7,3.0,101.0,0.0,0.0,101.0,
ビバレッジ,ティー｜TEAVANA™,チャイ ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785034204/4524785034204_11_s.jpg,,https://menu.starbucks.co.jp/4524785034204,220.0,6.7,6.3,34.4,0.2,0.2,34.2,82.0,331.0,0.2,3.7,53.0,
ビバレッジ,ティー｜TEAVANA™,ほうじ茶 ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785154681/4524785154681_11_s.jpg,,https://menu.starbucks.co.jp/4524785154681,162.0,6.9,6.3,19.5,0.2,0.0,19.5,80.0,384.0,0.2,3.7,68.0,
ビバレッジ,ティー｜TEAVANA™,抹茶 ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785106499/4524785106499_11_s.jpg,,https://menu.starbucks.co.jp/4524785106499,225.0,7.5,6.6,34.7,0.2,0.9,33.8,80.0,346.0,0.2,3.7,78.0,
ビバレッジ,ティー｜TEAVANA™,イングリッシュ ブレックファスト ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785304970/4524785304970_11_s.jpg,,https://menu.starbucks.co.jp/4524785304970,184.0,6.6,6.3,25.1,0.2,0.0,25.1,80.0,339.0,0.2,3.7,101.0,
ビバレッジ,ティー｜TEAVANA™,カモミール ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305465/4524785305465_11_s.jpg,,https://menu.starbucks.co.jp/4524785305465,179.0,6.6,6.3,24.4,0.2,0.0,24.4,86.0,301.0,0.2,3.7,0.0,
ビバレッジ,ティー｜TEAVANA™,アール グレイ ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305076/4524785305076_11_s.jpg,,https://menu.starbucks.co.jp/4524785305076,180.0,6.6,6.3,24.5,0.2,0.0,24.5,80.0,327.0,0.2,3.7,78.0,
ビバレッジ,ティー｜TEAVANA™,ゼンクラウド ウーロン ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785492820/4524785492820_11_s.jpg,,https://menu.starbucks.co.jp/4524785492820,180.0,6.8,6.3,24.2,0.2,0.0,24.2,80.0,280.0,0.2,3.7,71.0,
ビバレッジ,ティー｜TEAVANA™,アイスティー(ブラック),https://asset.menu.starbucks.co.jp/public/sku_images/4524785024748/4524785024748_11_s.jpg,,https://menu.starbucks.co.jp/4524785024748,4.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,43.0,0.0,0.0,61.0,
ビバレッジ,ティー｜TEAVANA™,アイスティー(パッション),https://asset.menu.starbucks.co.jp/public/sku_images/4524785349193/4524785349193_11_s.jpg,,https://menu.starbucks.co.jp/4524785349193,4.0,0.0,0.0,1.3,0.0,0.0,1.3,0.0,36.0,0.0,0.0,0.0,
ビバレッジ,ティー｜TEAVANA™,イングリッシュ ブレックファスト,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305328/4524785305328_11_s.jpg,,https://menu.starbucks.co.jp/4524785305328,5.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,60.0,0.0,0.0,101.0,
ビバレッジ,ティー｜TEAVANA™,アール グレイ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305366/4524785305366_11_s.jpg,,https://menu.starbucks.co.jp/4524785305366,2.0,0.0,0.0,0.7,0.0,0.0,0.7,0.0,48.0,0.0,0.0,78.0,
